channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
까까모리,22300,2025-11-18,1207,KR,https://www.youtube.com/channel/UCD5gqX9lm6XBJqLV2eUracA,UCD5gqX9lm6XBJqLV2eUracA
Tech Bytes,9900,2025-11-12,2141,NZ,https://www.youtube.com/channel/UCIzHcYatHCoJ5gLOOCA-Z5g,UCIzHcYatHCoJ5gLOOCA-Z5g
GameTextures.com,8730,2024-03-07,37,US,https://www.youtube.com/channel/UCjjzW5eHBV-faq1rh0AcizA,UCjjzW5eHBV-faq1rh0AcizA
PIXXO 3D,257000,2025-11-16,1064,AU,https://www.youtube.com/channel/UCNxIpuJ9MF8rcl9rrXAPUdQ,UCNxIpuJ9MF8rcl9rrXAPUdQ
북리지,23300,2025-11-14,5381,KR,https://www.youtube.com/channel/UCl3N7XHLxcAeVtTZajvPatw,UCl3N7XHLxcAeVtTZajvPatw
바코,6530,2025-09-10,797,KR,https://www.youtube.com/channel/UC4XErI-lNL6HuJl6q9NLS0A,UC4XErI-lNL6HuJl6q9NLS0A
숏펀지,44100,2025-11-17,164786,,https://www.youtube.com/channel/UCEDhmwkEvnnG62jELtEVtGA,UCEDhmwkEvnnG62jELtEVtGA
vfx world,185000,2025-11-17,5106,IN,https://www.youtube.com/channel/UCJonHhxNiYZbkCRiw_RBVtw,UCJonHhxNiYZbkCRiw_RBVtw
Beyond Blender,8430,2025-07-13,190,GB,https://www.youtube.com/channel/UCMEIjZcLftlS1fF8xtYJHOw,UCMEIjZcLftlS1fF8xtYJHOw
BeechBoyz TV,78700,2025-11-16,1033,US,https://www.youtube.com/channel/UCQP5Q9wlX1cqVT8NMkYL51w,UCQP5Q9wlX1cqVT8NMkYL51w
윤빌리티,10400,2025-10-29,875,KR,https://www.youtube.com/channel/UCjbE_DFLHbxfk0Y0xj36zag,UCjbE_DFLHbxfk0Y0xj36zag
MeshyAI,9810,2025-11-13,265,US,https://www.youtube.com/channel/UCz9e8s9x8QbyyYTGftoXn2g,UCz9e8s9x8QbyyYTGftoXn2g
AI디지털잡스 이재인ㅣ 이니언니,6250,2025-09-24,1065,KR,https://www.youtube.com/channel/UCXPLNgDtF6UeVQAn5U3GNCg,UCXPLNgDtF6UeVQAn5U3GNCg
조달기 겜 그래픽채널,11600,2025-11-17,484,KR,https://www.youtube.com/channel/UCxFhyjIZZsctM9iesmR3j3w,UCxFhyjIZZsctM9iesmR3j3w
상상 커머스,435000,2025-11-15,23036,KR,https://www.youtube.com/channel/UC9cZi5TTpJeR46gZWRMGbuA,UC9cZi5TTpJeR46gZWRMGbuA
범석TV,3340000,2025-11-16,11251,KR,https://www.youtube.com/channel/UCz1Gc37nWsdF_jbJ_SvMl4g,UCz1Gc37nWsdF_jbJ_SvMl4g
하나리 hannahLee,7910,2025-07-31,1276,KR,https://www.youtube.com/channel/UCX6G3PmhT4_Ku0DXRvlyNFA,UCX6G3PmhT4_Ku0DXRvlyNFA
어도비코리아,79300,2025-11-02,8045,KR,https://www.youtube.com/channel/UC5fqv4O6FGIwqPZX_HZpB6g,UC5fqv4O6FGIwqPZX_HZpB6g
골드메탈,69700,2025-11-07,1485,KR,https://www.youtube.com/channel/UCw_N-Q_eYJo-IJFbNkhiYDA,UCw_N-Q_eYJo-IJFbNkhiYDA
Harsh Gautam,27600,2025-11-17,4887,US,https://www.youtube.com/channel/UCG6v_5aFoc4AOipNDzxQOkg,UCG6v_5aFoc4AOipNDzxQOkg
김이솝의 AI 가이드,39900,2025-11-17,4,,https://www.youtube.com/channel/UCjf8cxzqPlayWaJpmtvNC-A,UCjf8cxzqPlayWaJpmtvNC-A
Saeed AI,28600,2025-11-11,186,ID,https://www.youtube.com/channel/UCF38U6sbnXMFvOKkmzQl-wA,UCF38U6sbnXMFvOKkmzQl-wA
Your Tech Girl,10700,2025-11-17,362,,https://www.youtube.com/channel/UCLY4Sl3z6pEgnF9y6Te7GsA,UCLY4Sl3z6pEgnF9y6Te7GsA
San Francisco Ballet,38100,2025-11-17,2024,US,https://www.youtube.com/channel/UCAoVP6N_o0uhnxMsZiIigcA,UCAoVP6N_o0uhnxMsZiIigcA
RedefineFX | Jesse Pitela,77200,2025-11-17,503,US,https://www.youtube.com/channel/UCH3zmZEGt0Ksmi0dcEGEFRw,UCH3zmZEGt0Ksmi0dcEGEFRw
저세상개발자,30700,2025-11-12,23364,KR,https://www.youtube.com/channel/UCRIomWe2by56WTTeoRFdEJA,UCRIomWe2by56WTTeoRFdEJA
Route 9 루트나인,136000,2025-11-13,5313,US,https://www.youtube.com/channel/UCQ2a9oTOgf1P5y32uiS-whQ,UCQ2a9oTOgf1P5y32uiS-whQ
Inbloom Concept,30900,2025-11-14,2119,HK,https://www.youtube.com/channel/UCbxav_9xiMxPhQn-Wd9Th6Q,UCbxav_9xiMxPhQn-Wd9Th6Q
"엄마, 내가 알려줄게",305000,2025-11-17,1940,US,https://www.youtube.com/channel/UCnVRuU0conY38Q4h-JGViWA,UCnVRuU0conY38Q4h-JGViWA
이슈저장소_DISV,21600,2025-05-27,1795,,https://www.youtube.com/channel/UC5GqhULOUFc7Twh6n_U_fxg,UC5GqhULOUFc7Twh6n_U_fxg
Paperblue,9340,2025-06-20,2395,KR,https://www.youtube.com/channel/UCxGMnlxUypV1o2DPsmGim8g,UCxGMnlxUypV1o2DPsmGim8g
지니,32800,2024-09-12,24977,KR,https://www.youtube.com/channel/UCyZKmfImrZXeD2A0yPOqd2w,UCyZKmfImrZXeD2A0yPOqd2w
Hazel Song,10200,2024-07-10,501,KR,https://www.youtube.com/channel/UCKd7HyC6GOvs9w-qNI6s48g,UCKd7HyC6GOvs9w-qNI6s48g
모두의연구소,11500,2025-11-17,0,KR,https://www.youtube.com/channel/UCv4U1uZvuxopMj8xiPXIBMQ,UCv4U1uZvuxopMj8xiPXIBMQ
CAD CAM LEARNER,12700,2022-10-07,4953,IN,https://www.youtube.com/channel/UClVSNziPCUG20zCuVxyyfTw,UClVSNziPCUG20zCuVxyyfTw
polygonpen,73500,2025-11-17,750,TR,https://www.youtube.com/channel/UCyowChgs-7b38q2Bi0cKXOA,UCyowChgs-7b38q2Bi0cKXOA
Bilawal Sidhu,27100,2025-11-15,14932,US,https://www.youtube.com/channel/UC7bGK0A1weWfNaRfO0hGVdg,UC7bGK0A1weWfNaRfO0hGVdg
Colin Pomeroy,39500,2025-11-16,1698,US,https://www.youtube.com/channel/UCyslF7Xweif3VcFYXMllU5Q,UCyslF7Xweif3VcFYXMllU5Q
Jonas Brothers - Topic,30900,,,,https://www.youtube.com/channel/UC150BpcojVsQJTYogTkKTZQ,UC150BpcojVsQJTYogTkKTZQ
osasart,180000,2025-11-15,22927,US,https://www.youtube.com/channel/UCMP78kZlE3_7elXTXMzIhdA,UCMP78kZlE3_7elXTXMzIhdA
Edengate Interactive,7130,2025-09-16,16777,,https://www.youtube.com/channel/UCPg9KG5U8q2W0e_pRnr4cKg,UCPg9KG5U8q2W0e_pRnr4cKg
라미스3D,70700,2025-11-15,38606,KR,https://www.youtube.com/channel/UC84l6kmc3z5aKwgKKI3PUlw,UC84l6kmc3z5aKwgKKI3PUlw
나다울 디자인,5000,2025-11-05,7012,KR,https://www.youtube.com/channel/UCBmte3BzLmoEbwKwgbddqLw,UCBmte3BzLmoEbwKwgbddqLw
Incro 3D,131000,2025-11-17,19706,IN,https://www.youtube.com/channel/UC54yAPNEt_0mm4aCydjtsrQ,UC54yAPNEt_0mm4aCydjtsrQ
디자이너맘,35000,2025-11-13,12104,KR,https://www.youtube.com/channel/UC3aSXIZKMMiWkRoc9tXR92g,UC3aSXIZKMMiWkRoc9tXR92g
Unreal Sensei,545000,2025-11-13,305783,US,https://www.youtube.com/channel/UCue7TFlrt9FxXarpsl872Dg,UCue7TFlrt9FxXarpsl872Dg
PixelArtistry,12500,2025-11-16,4384,,https://www.youtube.com/channel/UCRGb8yCnI5-upL3hT4oiOZw,UCRGb8yCnI5-upL3hT4oiOZw
Paul Anka - Topic,6790,,,,https://www.youtube.com/channel/UCEuZeapObLSPFWmPIK6kxag,UCEuZeapObLSPFWmPIK6kxag
Fancy,851000,2025-10-23,278181,US,https://www.youtube.com/channel/UCRJilf8hdkxHQqrQa_CafyA,UCRJilf8hdkxHQqrQa_CafyA
Dave / GameDevelopment,42800,2023-04-02,22025,US,https://www.youtube.com/channel/UCIWlCE2kt0RXCJLRp8HjhiQ,UCIWlCE2kt0RXCJLRp8HjhiQ
JohnKOBA Design,427000,2025-11-14,3005,KR,https://www.youtube.com/channel/UCYpD5IVQK9BjA2qtupHFExA,UCYpD5IVQK9BjA2qtupHFExA
UnrealCG,39900,2025-10-02,715,IN,https://www.youtube.com/channel/UCb7A3-CWHgy5EejbfA9wbmw,UCb7A3-CWHgy5EejbfA9wbmw
VFX Grace,30100,2025-11-17,3360,US,https://www.youtube.com/channel/UCi1gfzh-ZIQjphg2Xkj_OLA,UCi1gfzh-ZIQjphg2Xkj_OLA
Pixlways,109000,2025-10-27,62283,US,https://www.youtube.com/channel/UCQ-K5Pzx55EYaBbNqITDRdw,UCQ-K5Pzx55EYaBbNqITDRdw
BlenderBuilder,9240,2024-12-28,1291,US,https://www.youtube.com/channel/UCgtGd1Tn-9WTskkAkO3-rXA,UCgtGd1Tn-9WTskkAkO3-rXA
Unity Adventure,10800,2025-10-11,365,FR,https://www.youtube.com/channel/UCAkc1h6gEaYYB--kViv1wPQ,UCAkc1h6gEaYYB--kViv1wPQ
김재원의 즐거운 세상,1870000,2025-04-13,1498555,KR,https://www.youtube.com/channel/UCta_NRwnsUaew0t3VNxBNyg,UCta_NRwnsUaew0t3VNxBNyg
쇼츠공장,22200,2023-02-15,17636,KR,https://www.youtube.com/channel/UCGNC-menSSUj2HvALTaMK5A,UCGNC-menSSUj2HvALTaMK5A
Indie Game Clinic,27600,2025-11-11,956,GB,https://www.youtube.com/channel/UC9v7V5PKy-FeB9iVY2T5mMA,UC9v7V5PKy-FeB9iVY2T5mMA
KPIX | CBS NEWS BAY AREA,460000,2025-11-18,536,US,https://www.youtube.com/channel/UCF4LEacx9sDvAbEJnlaJfKQ,UCF4LEacx9sDvAbEJnlaJfKQ
blendereverything,50700,2025-11-12,6872,US,https://www.youtube.com/channel/UC-6vHjpfo62aJpQk_n9siUw,UC-6vHjpfo62aJpQk_n9siUw
Ducky 3D,626000,2025-11-14,16151,,https://www.youtube.com/channel/UCuNhGhbemBkdflZ1FGJ0lUQ,UCuNhGhbemBkdflZ1FGJ0lUQ
Wade McMaster - Creator Impact,89000,2025-11-13,4198,AU,https://www.youtube.com/channel/UCcCzzSbdw5-qmdF_NuTtb2w,UCcCzzSbdw5-qmdF_NuTtb2w
Marked as Unreal,8050,2025-09-26,6355,PL,https://www.youtube.com/channel/UCeK9YfxXibYoY1cst0r4AvA,UCeK9YfxXibYoY1cst0r4AvA
Coding Quests,22700,2025-09-11,2585,CA,https://www.youtube.com/channel/UC_DV_XlyV-JXmAjUjg68ROg,UC_DV_XlyV-JXmAjUjg68ROg
NHN,5780,2025-10-30,152,,https://www.youtube.com/channel/UCMEfq7bqJwujrM5oEEhhmYw,UCMEfq7bqJwujrM5oEEhhmYw
평범한 사업가,35600,2025-11-03,953,KR,https://www.youtube.com/channel/UCu1yyUnlvqj4qZM5WZtUONg,UCu1yyUnlvqj4qZM5WZtUONg
Alan Walker,47300000,2025-11-15,82397,NO,https://www.youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,UCJrOtniJ0-NWz37R30urifQ
Mr.Freely미스터 프릴리,13900,2025-11-17,279,KR,https://www.youtube.com/channel/UCIQ8Sq3OF0hxNZCGiXUZntA,UCIQ8Sq3OF0hxNZCGiXUZntA
iMeshh 3D Models,37100,2025-10-06,1589,GB,https://www.youtube.com/channel/UCYdjtG-RApzP7jMVzWQgJnQ,UCYdjtG-RApzP7jMVzWQgJnQ
KBS Kpop,9990000,2025-11-17,3602,KR,https://www.youtube.com/channel/UCeLPm9yH_a_QH8n6445G-Ow,UCeLPm9yH_a_QH8n6445G-Ow
SAPPHIRE,753000,2025-11-15,2479,GB,https://www.youtube.com/channel/UCrbrN66-0KK6DaLJg2t5fvQ,UCrbrN66-0KK6DaLJg2t5fvQ
Blackthornprod,605000,2025-11-14,111158,FR,https://www.youtube.com/channel/UC9Z1XWw1kmnvOOFsj6Bzy2g,UC9Z1XWw1kmnvOOFsj6Bzy2g
