channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
Film Editing Pro,201000,2025-09-16,22512,US,https://www.youtube.com/channel/UCkePWcrHz4q9y6kg5jvhWOw,UCkePWcrHz4q9y6kg5jvhWOw
3D Prints&Builds,44100,2025-11-16,894,EE,https://www.youtube.com/channel/UCHyxt0Fz-HsA_-aH9v7WRLA,UCHyxt0Fz-HsA_-aH9v7WRLA
노돌리,352000,2025-11-17,0,KR,https://www.youtube.com/channel/UCNvGiN93jKCp39Jsq31BMmg,UCNvGiN93jKCp39Jsq31BMmg
기묘한 자동화,43600,2024-01-13,302335,KR,https://www.youtube.com/channel/UChLHvrqxYRGFdHCVEReD0GQ,UChLHvrqxYRGFdHCVEReD0GQ
레벨업클라쓰 Levelupclass,18300,2025-11-16,415,,https://www.youtube.com/channel/UCAEMz3tWxLmhloUd5cRDYiw,UCAEMz3tWxLmhloUd5cRDYiw
AI놀이터,34200,2025-11-10,1336,KR,https://www.youtube.com/channel/UCTr21s93d_hqeFtDqd8bQHw,UCTr21s93d_hqeFtDqd8bQHw
Game Dev Garnet,5420,2025-11-14,875,AU,https://www.youtube.com/channel/UCIF0-5x1-0-FWexgzYMmjKQ,UCIF0-5x1-0-FWexgzYMmjKQ
쓰리디인하,7750,2025-11-14,3816,KR,https://www.youtube.com/channel/UCWOaj_fsGQlF6BO4L0YxwJw,UCWOaj_fsGQlF6BO4L0YxwJw
Unreal Engine Rus,80700,2018-09-15,43540,RU,https://www.youtube.com/channel/UCLbkGIcYJxxL0tciH9RVebg,UCLbkGIcYJxxL0tciH9RVebg
메이커 팡팡맨 maker pangpangman,537000,2025-11-15,8520,,https://www.youtube.com/channel/UCJNAB8QzT1p7qSLwk3yRP1g,UCJNAB8QzT1p7qSLwk3yRP1g
Kaizen,258000,2025-10-28,18171,NL,https://www.youtube.com/channel/UCMosQZ8k4dPITlPZ0Q6kpog,UCMosQZ8k4dPITlPZ0Q6kpog
Derek Elliott,255000,,,US,https://www.youtube.com/channel/UCk7IufzS4r8v76NeWR6A3dg,UCk7IufzS4r8v76NeWR6A3dg
Artindi,68600,2025-11-08,38762,US,https://www.youtube.com/channel/UC-X348Le6FmIfc9zxH4KYNA,UC-X348Le6FmIfc9zxH4KYNA
Hyuna Lee,15900,2021-03-19,5166,KR,https://www.youtube.com/channel/UCrL0aKRu9yHX9zU5za7BQSg,UCrL0aKRu9yHX9zU5za7BQSg
붉은호박,5670,2025-05-17,26948,KR,https://www.youtube.com/channel/UCjtfsDAzvoirefxxYpdGcew,UCjtfsDAzvoirefxxYpdGcew
Blender for Archviz,13400,2024-10-21,4760,US,https://www.youtube.com/channel/UCask-uey7IlCNx8n3kxhHZg,UCask-uey7IlCNx8n3kxhHZg
