channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
프로에펙러 Pro AE,101000,2025-11-12,10278,KR,https://www.youtube.com/channel/UC_e-y9mmeAbx7oGlhFyvG9w,UC_e-y9mmeAbx7oGlhFyvG9w
VirtualThreads - 3D Mockup Generator ,16600,2025-11-12,1547,,https://www.youtube.com/channel/UCXbcT8CAizrH_VvrkDhAKvg,UCXbcT8CAizrH_VvrkDhAKvg
3d illusions,14400,2025-09-22,180,GB,https://www.youtube.com/channel/UCN3DDqJGvLOi6Q8bGLhBhVg,UCN3DDqJGvLOi6Q8bGLhBhVg
꿀사이트,5380,2025-11-16,1172,,https://www.youtube.com/channel/UCko3RlJKlaOHxSxYlbyzNXg,UCko3RlJKlaOHxSxYlbyzNXg
Ryan Kennedy,1300000,2025-11-17,755,US,https://www.youtube.com/channel/UCTkhZGtANjMzXpgDUE7HLUA,UCTkhZGtANjMzXpgDUE7HLUA
AI놀이터,34200,2025-11-10,1326,KR,https://www.youtube.com/channel/UCTr21s93d_hqeFtDqd8bQHw,UCTr21s93d_hqeFtDqd8bQHw
편집하는남자,60300,2025-11-16,3,KR,https://www.youtube.com/channel/UCbTbuhbYPJoGCHd93di7IWQ,UCbTbuhbYPJoGCHd93di7IWQ
Amelia Scarlett,6420,2024-09-01,42945,,https://www.youtube.com/channel/UCOI2Mia6eIzmZgXXXw_Kl0w,UCOI2Mia6eIzmZgXXXw_Kl0w
MeshyAI,9790,2025-11-13,239,US,https://www.youtube.com/channel/UCz9e8s9x8QbyyYTGftoXn2g,UCz9e8s9x8QbyyYTGftoXn2g
PRODESIGN,6450,2025-07-25,1839,,https://www.youtube.com/channel/UChCAb299FjSisWATg0IM1sA,UChCAb299FjSisWATg0IM1sA
MagiScan 3D - AI 3D Scanner app,6680,2024-11-18,232912,,https://www.youtube.com/channel/UC0VisC-nI_wNIApbzUAqeVQ,UC0VisC-nI_wNIApbzUAqeVQ
The Next Gen,9100,2025-11-14,188,LK,https://www.youtube.com/channel/UCTGZsXT7xZXB-hBvdpusI9Q,UCTGZsXT7xZXB-hBvdpusI9Q
Giovana de Bona,7340,2025-09-02,124,GB,https://www.youtube.com/channel/UCom83rmjxnwnQyLGhJjsHAg,UCom83rmjxnwnQyLGhJjsHAg
서울대학교AI연구원,11800,2025-10-22,551,KR,https://www.youtube.com/channel/UCrBnlsMvvKlRgUESkV_CwXA,UCrBnlsMvvKlRgUESkV_CwXA
inventormiguel,37300,2025-11-16,568,BR,https://www.youtube.com/channel/UCtKR9x60aF8SG8qngDc7elA,UCtKR9x60aF8SG8qngDc7elA
"Freedom Arts - 3D, AI & PC Tutorials",32300,2025-11-13,132,MY,https://www.youtube.com/channel/UCPi437n6fBnO_z0vexNgv_w,UCPi437n6fBnO_z0vexNgv_w
Sean Dove,71000,,,AU,https://www.youtube.com/channel/UC5QgEOuV9CzBCC8XFTV6ZQg,UC5QgEOuV9CzBCC8XFTV6ZQg
이르키 | iRKi,8040,2025-10-13,3510,KR,https://www.youtube.com/channel/UCdP0FJ2Z8dbl1fu6NjDJryA,UCdP0FJ2Z8dbl1fu6NjDJryA
3D Prints&Builds,44100,2025-11-16,789,EE,https://www.youtube.com/channel/UCHyxt0Fz-HsA_-aH9v7WRLA,UCHyxt0Fz-HsA_-aH9v7WRLA
DucThang Ds,838000,2025-11-16,14388,VN,https://www.youtube.com/channel/UCHMiVk1X8dT1f_YCLFY5gdA,UCHMiVk1X8dT1f_YCLFY5gdA
2AM,76700,2025-11-08,28006,CA,https://www.youtube.com/channel/UCI7XWNL-pkqYeY9MLyL5roQ,UCI7XWNL-pkqYeY9MLyL5roQ
갓쌤TV - AI미래교육연구회,10700,2025-10-18,1307,KR,https://www.youtube.com/channel/UCGivE0cLydppIwPCbX7i4KA,UCGivE0cLydppIwPCbX7i4KA
블리bli_d(BLI),7400,2025-09-18,563,KR,https://www.youtube.com/channel/UCZeFxU4IHPQKdvritnKdZXA,UCZeFxU4IHPQKdvritnKdZXA
경주최씨 충렬공파 39대손,385000,2025-11-14,151614,KR,https://www.youtube.com/channel/UCC3tMVyct58LpmmwH2ydDuw,UCC3tMVyct58LpmmwH2ydDuw
Pivot Point,6240,2025-10-09,3962,AZ,https://www.youtube.com/channel/UCmkwbX3Cd5f5GF5BwwUTNAA,UCmkwbX3Cd5f5GF5BwwUTNAA
Vizcom,13300,2025-11-12,1594,US,https://www.youtube.com/channel/UCU-XOa74z1aGdZRyvRBQ6UQ,UCU-XOa74z1aGdZRyvRBQ6UQ
Route 9 루트나인,136000,2025-11-13,5243,US,https://www.youtube.com/channel/UCQ2a9oTOgf1P5y32uiS-whQ,UCQ2a9oTOgf1P5y32uiS-whQ
Rock Aftab71,11300,2025-11-16,2157,IN,https://www.youtube.com/channel/UCfxdTnK7EM2sxGS089mclMg,UCfxdTnK7EM2sxGS089mclMg
